YearMonth,Value,month_number,date,year,month
188001,-0.0125,1,1880-01-01,1880,Jan
188002,-0.1339,2,1880-02-01,1880,Feb
188003,-0.1474,3,1880-03-01,1880,Mar
188004,-0.0611,4,1880-04-01,1880,Apr
188005,-0.0927,5,1880-05-01,1880,May
188006,-0.1853,6,1880-06-01,1880,Jun
188007,-0.1686,7,1880-07-01,1880,Jul
188008,-0.0929,8,1880-08-01,1880,Aug
188009,-0.0997,9,1880-09-01,1880,Sep
188010,-0.1959,10,1880-10-01,1880,Oct
188011,-0.285,11,1880-11-01,1880,Nov
188012,-0.0939,12,1880-12-01,1880,Dec
188101,-0.0377,13,1881-01-01,1881,Jan
188102,-0.0457,14,1881-02-01,1881,Feb
188103,0.0117,15,1881-03-01,1881,Mar
188104,0.0542,16,1881-04-01,1881,Apr
188105,0.0068,17,1881-05-01,1881,May
188106,-0.1147,18,1881-06-01,1881,Jun
188107,-0.0589,19,1881-07-01,1881,Jul
188108,-0.0734,20,1881-08-01,1881,Aug
188109,-0.201,21,1881-09-01,1881,Sep
188110,-0.2376,22,1881-10-01,1881,Oct
188111,-0.2387,23,1881-11-01,1881,Nov
188112,-0.067,24,1881-12-01,1881,Dec
188201,0.0734,25,1882-01-01,1882,Jan
188202,0.0198,26,1882-02-01,1882,Feb
188203,0.0564,27,1882-03-01,1882,Mar
188204,-0.1431,28,1882-04-01,1882,Apr
188205,-0.167,29,1882-05-01,1882,May
188206,-0.1564,30,1882-06-01,1882,Jun
188207,-0.0825,31,1882-07-01,1882,Jul
188208,-0.0231,32,1882-08-01,1882,Aug
188209,-0.0106,33,1882-09-01,1882,Sep
188210,-0.2234,34,1882-10-01,1882,Oct
188211,-0.1449,35,1882-11-01,1882,Nov
188212,-0.1896,36,1882-12-01,1882,Dec
188301,-0.2804,37,1883-01-01,1883,Jan
188302,-0.3072,38,1883-02-01,1883,Feb
188303,-0.1529,39,1883-03-01,1883,Mar
188304,-0.1904,40,1883-04-01,1883,Apr
188305,-0.158,41,1883-05-01,1883,May
188306,-0.0218,42,1883-06-01,1883,Jun
188307,-0.0978,43,1883-07-01,1883,Jul
188308,-0.0647,44,1883-08-01,1883,Aug
188309,-0.1621,45,1883-09-01,1883,Sep
188310,-0.1779,46,1883-10-01,1883,Oct
188311,-0.1862,47,1883-11-01,1883,Nov
188312,-0.0944,48,1883-12-01,1883,Dec
188401,-0.2026,49,1884-01-01,1884,Jan
188402,-0.1624,50,1884-02-01,1884,Feb
188403,-0.2258,51,1884-03-01,1884,Mar
188404,-0.2004,52,1884-04-01,1884,Apr
188405,-0.1481,53,1884-05-01,1884,May
188406,-0.2122,54,1884-06-01,1884,Jun
188407,-0.3186,55,1884-07-01,1884,Jul
188408,-0.2877,56,1884-08-01,1884,Aug
188409,-0.241,57,1884-09-01,1884,Sep
188410,-0.1861,58,1884-10-01,1884,Oct
188411,-0.2867,59,1884-11-01,1884,Nov
188412,-0.1631,60,1884-12-01,1884,Dec
188501,-0.4414,61,1885-01-01,1885,Jan
188502,-0.2708,62,1885-02-01,1885,Feb
188503,-0.1627,63,1885-03-01,1885,Mar
188504,-0.27,64,1885-04-01,1885,Apr
188505,-0.2957,65,1885-05-01,1885,May
188506,-0.3214,66,1885-06-01,1885,Jun
188507,-0.2534,67,1885-07-01,1885,Jul
188508,-0.2568,68,1885-08-01,1885,Aug
188509,-0.2108,69,1885-09-01,1885,Sep
188510,-0.1421,70,1885-10-01,1885,Oct
188511,-0.1431,71,1885-11-01,1885,Nov
188512,0.035,72,1885-12-01,1885,Dec
188601,-0.1241,73,1886-01-01,1886,Jan
188602,-0.2933,74,1886-02-01,1886,Feb
188603,-0.2966,75,1886-03-01,1886,Mar
188604,-0.1815,76,1886-04-01,1886,Apr
188605,-0.1685,77,1886-05-01,1886,May
188606,-0.2583,78,1886-06-01,1886,Jun
188607,-0.1749,79,1886-07-01,1886,Jul
188608,-0.2278,80,1886-08-01,1886,Aug
188609,-0.206,81,1886-09-01,1886,Sep
188610,-0.2387,82,1886-10-01,1886,Oct
188611,-0.2093,83,1886-11-01,1886,Nov
188612,-0.174,84,1886-12-01,1886,Dec
188701,-0.3952,85,1887-01-01,1887,Jan
188702,-0.3886,86,1887-02-01,1887,Feb
188703,-0.1744,87,1887-03-01,1887,Mar
188704,-0.2035,88,1887-04-01,1887,Apr
188705,-0.2461,89,1887-05-01,1887,May
188706,-0.2275,90,1887-06-01,1887,Jun
188707,-0.282,91,1887-07-01,1887,Jul
188708,-0.3261,92,1887-08-01,1887,Aug
188709,-0.1947,93,1887-09-01,1887,Sep
188710,-0.3086,94,1887-10-01,1887,Oct
188711,-0.169,95,1887-11-01,1887,Nov
188712,-0.2079,96,1887-12-01,1887,Dec
188801,-0.3975,97,1888-01-01,1888,Jan
188802,-0.3402,98,1888-02-01,1888,Feb
188803,-0.3108,99,1888-03-01,1888,Mar
188804,-0.1851,100,1888-04-01,1888,Apr
188805,-0.1694,101,1888-05-01,1888,May
188806,-0.1054,102,1888-06-01,1888,Jun
188807,-0.1258,103,1888-07-01,1888,Jul
188808,-0.1716,104,1888-08-01,1888,Aug
188809,-0.08,105,1888-09-01,1888,Sep
188810,0.0057,106,1888-10-01,1888,Oct
188811,-0.0567,107,1888-11-01,1888,Nov
188812,0.0288,108,1888-12-01,1888,Dec
188901,-0.1069,109,1889-01-01,1889,Jan
188902,0.002,110,1889-02-01,1889,Feb
188903,0.1074,111,1889-03-01,1889,Mar
188904,0.0389,112,1889-04-01,1889,Apr
188905,-0.0423,113,1889-05-01,1889,May
188906,-0.0864,114,1889-06-01,1889,Jun
188907,-0.1749,115,1889-07-01,1889,Jul
188908,-0.1513,116,1889-08-01,1889,Aug
188909,-0.2372,117,1889-09-01,1889,Sep
188910,-0.2066,118,1889-10-01,1889,Oct
188911,-0.2902,119,1889-11-01,1889,Nov
188912,-0.1915,120,1889-12-01,1889,Dec
189001,-0.3721,121,1890-01-01,1890,Jan
189002,-0.4409,122,1890-02-01,1890,Feb
189003,-0.3324,123,1890-03-01,1890,Mar
189004,-0.2695,124,1890-04-01,1890,Apr
189005,-0.3992,125,1890-05-01,1890,May
189006,-0.2971,126,1890-06-01,1890,Jun
189007,-0.2914,127,1890-07-01,1890,Jul
189008,-0.3373,128,1890-08-01,1890,Aug
189009,-0.3634,129,1890-09-01,1890,Sep
189010,-0.3064,130,1890-10-01,1890,Oct
189011,-0.3513,131,1890-11-01,1890,Nov
189012,-0.2418,132,1890-12-01,1890,Dec
189101,-0.3919,133,1891-01-01,1891,Jan
189102,-0.5344,134,1891-02-01,1891,Feb
189103,-0.2224,135,1891-03-01,1891,Mar
189104,-0.2617,136,1891-04-01,1891,Apr
189105,-0.1474,137,1891-05-01,1891,May
189106,-0.2127,138,1891-06-01,1891,Jun
189107,-0.2379,139,1891-07-01,1891,Jul
189108,-0.2404,140,1891-08-01,1891,Aug
189109,-0.161,141,1891-09-01,1891,Sep
189110,-0.2969,142,1891-10-01,1891,Oct
189111,-0.4061,143,1891-11-01,1891,Nov
189112,-0.0541,144,1891-12-01,1891,Dec
189201,-0.2426,145,1892-01-01,1892,Jan
189202,-0.1434,146,1892-02-01,1892,Feb
189203,-0.312,147,1892-03-01,1892,Mar
189204,-0.3267,148,1892-04-01,1892,Apr
189205,-0.3148,149,1892-05-01,1892,May
189206,-0.2932,150,1892-06-01,1892,Jun
189207,-0.3608,151,1892-07-01,1892,Jul
189208,-0.3395,152,1892-08-01,1892,Aug
189209,-0.23,153,1892-09-01,1892,Sep
189210,-0.2572,154,1892-10-01,1892,Oct
189211,-0.4799,155,1892-11-01,1892,Nov
189212,-0.4844,156,1892-12-01,1892,Dec
189301,-0.6897,157,1893-01-01,1893,Jan
189302,-0.6209,158,1893-02-01,1893,Feb
189303,-0.2321,159,1893-03-01,1893,Mar
189304,-0.3585,160,1893-04-01,1893,Apr
189305,-0.3506,161,1893-05-01,1893,May
189306,-0.2455,162,1893-06-01,1893,Jun
189307,-0.2085,163,1893-07-01,1893,Jul
189308,-0.3366,164,1893-08-01,1893,Aug
189309,-0.268,165,1893-09-01,1893,Sep
189310,-0.2202,166,1893-10-01,1893,Oct
189311,-0.1723,167,1893-11-01,1893,Nov
189312,-0.2571,168,1893-12-01,1893,Dec
189401,-0.4448,169,1894-01-01,1894,Jan
189402,-0.2305,170,1894-02-01,1894,Feb
189403,-0.21,171,1894-03-01,1894,Mar
189404,-0.3103,172,1894-04-01,1894,Apr
189405,-0.3083,173,1894-05-01,1894,May
189406,-0.3548,174,1894-06-01,1894,Jun
189407,-0.2766,175,1894-07-01,1894,Jul
189408,-0.278,176,1894-08-01,1894,Aug
189409,-0.2612,177,1894-09-01,1894,Sep
189410,-0.2213,178,1894-10-01,1894,Oct
189411,-0.3031,179,1894-11-01,1894,Nov
189412,-0.2476,180,1894-12-01,1894,Dec
189501,-0.4426,181,1895-01-01,1895,Jan
189502,-0.4191,182,1895-02-01,1895,Feb
189503,-0.2883,183,1895-03-01,1895,Mar
189504,-0.1877,184,1895-04-01,1895,Apr
189505,-0.2097,185,1895-05-01,1895,May
189506,-0.295,186,1895-06-01,1895,Jun
189507,-0.2024,187,1895-07-01,1895,Jul
189508,-0.227,188,1895-08-01,1895,Aug
189509,-0.137,189,1895-09-01,1895,Sep
189510,-0.1365,190,1895-10-01,1895,Oct
189511,-0.1612,191,1895-11-01,1895,Nov
189512,-0.0745,192,1895-12-01,1895,Dec
189601,-0.1063,193,1896-01-01,1896,Jan
189602,-0.081,194,1896-02-01,1896,Feb
189603,-0.2094,195,1896-03-01,1896,Mar
189604,-0.2678,196,1896-04-01,1896,Apr
189605,-0.1045,197,1896-05-01,1896,May
189606,-0.092,198,1896-06-01,1896,Jun
189607,-0.0526,199,1896-07-01,1896,Jul
189608,-0.0727,200,1896-08-01,1896,Aug
189609,-0.0677,201,1896-09-01,1896,Sep
189610,-0.0109,202,1896-10-01,1896,Oct
189611,-0.1676,203,1896-11-01,1896,Nov
189612,0.0456,204,1896-12-01,1896,Dec
189701,-0.1901,205,1897-01-01,1897,Jan
189702,-0.111,206,1897-02-01,1897,Feb
189703,-0.1887,207,1897-03-01,1897,Mar
189704,-0.0044,208,1897-04-01,1897,Apr
189705,-0.0249,209,1897-05-01,1897,May
189706,-0.0994,210,1897-06-01,1897,Jun
189707,-0.0395,211,1897-07-01,1897,Jul
189708,-0.0756,212,1897-08-01,1897,Aug
189709,-0.027,213,1897-09-01,1897,Sep
189710,-0.1619,214,1897-10-01,1897,Oct
189711,-0.2613,215,1897-11-01,1897,Nov
189712,-0.2976,216,1897-12-01,1897,Dec
189801,-0.0412,217,1898-01-01,1898,Jan
189802,-0.2806,218,1898-02-01,1898,Feb
189803,-0.6607,219,1898-03-01,1898,Mar
189804,-0.3551,220,1898-04-01,1898,Apr
189805,-0.3155,221,1898-05-01,1898,May
